elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.84,35.85,1.99,9906,551,17176,27633
0.1,37.85,35.86,1.99,9908,550,17175,27633
0.2,37.85,35.86,1.99,9908,550,17175,27633
0.3,37.85,35.85,2.00,9906,552,17175,27633
0.5,37.85,35.87,1.98,9911,547,17175,27633
0.6,37.85,35.86,1.99,9908,551,17174,27633
0.7,37.85,35.86,1.99,9909,550,17174,27633
0.8,37.85,35.86,1.99,9909,550,17174,27633
1.0,37.85,35.85,2.00,9906,553,17174,27633
1.1,37.85,35.84,2.01,9905,555,17173,27633
1.2,37.85,35.84,2.01,9905,555,17173,27633
1.4,37.85,35.84,2.01,9905,555,17173,27633
1.5,37.85,35.84,2.01,9904,556,17173,27633
1.6,37.85,35.85,2.00,9906,554,17173,27633
1.7,37.85,35.85,2.00,9906,554,17173,27633
1.9,37.85,35.84,2.01,9904,556,17173,27633
2.0,37.85,35.84,2.01,9905,555,17173,27633
2.1,37.99,35.86,2.13,10017,596,17322,27935
2.3,38.15,35.93,2.22,10037,621,17277,27935
2.4,38.90,36.55,2.36,10209,659,17067,27935
2.5,39.37,36.88,2.50,10357,701,17028,28086
2.7,39.26,36.73,2.54,10371,716,17150,28237
2.8,39.40,36.77,2.62,10495,749,17295,28539
3.0,39.64,36.91,2.73,10604,784,17340,28728
3.2,39.70,36.95,2.75,10614,791,17323,28728
3.3,40.61,37.63,2.97,10954,865,17287,29106
3.4,40.62,37.61,3.02,10946,878,17282,29106
3.5,40.63,37.62,3.01,10950,876,17280,29106
3.7,40.39,37.39,3.00,10999,882,17533,29414
3.8,41.33,38.24,3.09,11247,910,17257,29414
3.9,42.58,39.08,3.50,11495,1030,16889,29414
4.1,42.47,38.98,3.49,11525,1033,17010,29568
4.2,42.65,38.94,3.71,11515,1096,16957,29568
4.3,42.75,38.83,3.92,11481,1158,16929,29568
4.4,42.75,38.73,4.02,11451,1190,16927,29568
4.6,42.79,38.71,4.08,11445,1207,16916,29568
4.7,42.90,38.79,4.12,11469,1217,16882,29568
4.9,42.94,38.85,4.09,11487,1209,16872,29568
5.0,42.96,38.90,4.06,11502,1201,16865,29568
5.2,42.99,38.94,4.04,11514,1196,16858,29568
5.4,43.25,39.30,3.96,11619,1170,16779,29568
5.5,43.26,39.29,3.97,11618,1174,16776,29568
5.7,43.26,39.32,3.94,11626,1166,16776,29568
5.9,43.30,39.39,3.91,11646,1156,16766,29568
6.0,42.95,39.08,3.86,11677,1154,17045,29876
6.2,42.99,39.10,3.89,11683,1162,17031,29876
6.4,42.99,39.06,3.93,11671,1174,17031,29876
6.5,43.28,39.32,3.96,11747,1184,16945,29876
6.7,43.30,39.36,3.94,11758,1177,16941,29876
6.8,43.33,39.36,3.97,11759,1185,16932,29876
7.0,43.46,39.47,3.99,11791,1192,16893,29876
7.1,43.46,39.47,3.99,11791,1192,16893,29876
7.3,43.46,39.44,4.01,11784,1199,16893,29876
7.4,43.46,39.45,4.01,11787,1197,16892,29876
7.6,43.74,39.74,3.99,11874,1193,16809,29876
7.7,43.78,39.77,4.02,11881,1200,16795,29876
7.9,43.87,39.80,4.08,11890,1218,16768,29876
8.1,44.04,39.79,4.25,11889,1269,16718,29876
8.2,44.10,39.67,4.43,11852,1324,16700,29876
8.4,44.29,39.89,4.40,11917,1316,16643,29876
8.5,44.35,39.99,4.36,11948,1303,16625,29876
8.7,44.40,40.04,4.36,11962,1304,16610,29876
8.8,44.63,40.35,4.29,12054,1281,16541,29876
9.0,44.67,40.36,4.31,12059,1287,16530,29876
9.2,44.73,40.42,4.31,12077,1288,16511,29876
9.3,44.94,40.63,4.30,12140,1285,16451,29876
9.5,44.98,40.63,4.35,12140,1299,16437,29876
9.6,44.99,40.58,4.40,12124,1316,16436,29876
9.8,45.08,40.56,4.52,12117,1351,16408,29876
9.9,45.08,40.58,4.50,12124,1345,16407,29876
10.1,45.28,40.87,4.41,12209,1319,16348,29876
10.3,45.46,41.09,4.37,12275,1307,16294,29876
10.4,45.47,41.01,4.46,12251,1333,16292,29876
10.6,45.52,41.12,4.40,12286,1314,16276,29876
10.7,45.64,41.25,4.39,12324,1312,16240,29876
10.8,45.75,41.32,4.43,12344,1324,16208,29876
10.9,45.75,41.32,4.42,12346,1322,16208,29876
11.1,45.75,41.35,4.40,12354,1314,16208,29876
11.3,45.75,41.36,4.39,12357,1311,16208,29876
11.4,45.75,41.35,4.40,12354,1314,16208,29876
11.6,45.75,41.34,4.40,12352,1316,16208,29876
11.7,45.75,41.36,4.39,12356,1312,16208,29876
11.9,45.75,41.36,4.39,12356,1312,16208,29876
12.0,45.75,41.35,4.39,12355,1313,16208,29876
12.1,45.75,41.36,4.39,12356,1312,16208,29876
12.3,45.75,41.36,4.39,12357,1311,16208,29876
12.5,45.75,41.36,4.38,12358,1310,16208,29876
12.6,45.75,41.36,4.39,12356,1312,16208,29876
12.8,45.75,41.36,4.38,12358,1310,16208,29876
13.0,45.75,41.36,4.39,12356,1312,16208,29876
13.2,45.75,41.35,4.39,12355,1313,16208,29876
13.3,45.75,41.35,4.40,12354,1314,16208,29876
13.4,45.81,41.40,4.41,12368,1317,16191,29876
13.6,45.98,41.44,4.54,12380,1357,16139,29876
