elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.56,35.78,1.78,9887,492,17254,27633
0.0,37.56,35.78,1.78,9888,491,17254,27633
0.1,37.56,35.78,1.78,9888,492,17253,27633
0.3,37.56,35.78,1.79,9886,494,17253,27633
0.4,37.56,35.78,1.78,9888,492,17253,27633
0.5,37.56,35.78,1.79,9886,494,17253,27633
0.6,37.56,35.78,1.79,9886,494,17253,27633
0.7,37.56,35.78,1.78,9888,492,17253,27633
0.8,37.56,35.78,1.78,9888,492,17253,27633
0.9,37.56,35.78,1.78,9888,492,17253,27633
1.0,37.56,35.78,1.78,9888,492,17253,27633
1.1,37.56,35.78,1.79,9886,494,17253,27633
1.2,37.56,35.78,1.78,9888,492,17253,27633
1.4,37.56,35.78,1.78,9888,492,17253,27633
1.5,37.56,35.78,1.78,9888,492,17253,27633
1.6,37.56,35.78,1.78,9888,492,17253,27633
1.7,37.56,35.78,1.78,9888,492,17253,27633
1.8,37.56,35.78,1.78,9888,492,17253,27633
1.9,37.56,35.78,1.79,9886,494,17253,27633
2.0,37.56,35.78,1.78,9887,493,17253,27633
2.1,37.62,35.84,1.78,9903,493,17237,27633
2.2,37.97,36.09,1.88,9973,520,17140,27633
2.3,38.31,36.31,2.00,10087,557,17140,27784
2.4,38.96,36.82,2.14,10231,594,16959,27784
2.5,38.66,36.43,2.23,10233,625,17228,28086
2.6,39.09,36.75,2.34,10376,662,17199,28237
2.7,39.91,37.16,2.75,10675,791,17262,28728
2.8,40.22,37.41,2.81,10817,812,17288,28917
2.9,40.23,37.38,2.85,10810,824,17283,28917
3.0,40.98,38.10,2.88,11017,834,17066,28917
3.1,41.09,38.15,2.94,11032,849,17036,28917
3.2,41.37,38.16,3.21,11035,929,16953,28917
3.4,41.42,38.06,3.35,11007,969,16941,28917
3.5,41.46,37.99,3.47,10985,1003,16929,28917
3.6,41.05,37.60,3.45,10988,1008,17227,29223
3.7,41.13,37.65,3.47,11003,1015,17205,29223
3.8,41.64,37.88,3.76,11141,1106,17167,29414
4.0,41.77,38.00,3.76,11178,1107,17129,29414
4.1,41.77,38.02,3.75,11183,1104,17127,29414
4.2,41.21,37.47,3.73,11196,1115,17565,29876
4.3,41.27,37.56,3.72,11220,1111,17545,29876
4.5,41.57,37.84,3.73,11305,1115,17456,29876
4.6,41.57,37.83,3.74,11302,1118,17456,29876
4.7,41.73,37.83,3.90,11303,1165,17408,29876
4.8,41.76,37.93,3.83,11331,1144,17401,29876
4.9,41.76,37.83,3.93,11302,1175,17399,29876
5.0,41.77,37.88,3.90,11316,1164,17396,29876
5.2,41.99,38.13,3.85,11393,1151,17332,29876
5.3,43.47,39.28,4.19,11735,1253,16888,29876
5.4,43.13,38.72,4.42,11717,1337,17210,30264
5.6,43.36,38.93,4.42,11783,1338,17143,30264
5.7,43.43,39.04,4.38,11816,1327,17121,30264
5.8,43.43,39.05,4.37,11819,1324,17121,30264
5.9,43.43,39.10,4.33,11833,1310,17121,30264
6.0,43.43,39.12,4.31,11838,1305,17121,30264
6.1,43.43,39.09,4.35,11829,1315,17120,30264
6.2,43.47,39.08,4.39,11828,1328,17108,30264
6.3,43.47,39.10,4.37,11833,1323,17108,30264
6.5,43.47,39.13,4.35,11841,1315,17108,30264
6.6,43.47,39.14,4.33,11846,1310,17108,30264
6.7,43.48,39.12,4.36,11838,1321,17105,30264
6.8,43.48,39.11,4.37,11837,1322,17105,30264
6.9,43.48,39.10,4.38,11834,1325,17105,30264
7.0,44.13,39.07,5.07,11823,1534,16907,30264
7.1,44.15,39.01,5.14,11806,1556,16902,30264
7.2,44.15,39.05,5.10,11818,1544,16902,30264
7.4,44.15,38.95,5.21,11787,1576,16901,30264
7.5,44.15,39.01,5.15,11805,1558,16901,30264
7.6,44.39,39.04,5.35,11816,1619,16829,30264
7.7,44.30,38.74,5.55,11846,1698,17032,30576
7.9,43.97,38.38,5.60,11884,1733,17351,30968
7.9,43.97,38.32,5.65,11868,1749,17351,30968
8.1,43.71,38.11,5.60,11877,1745,17542,31164
8.2,43.85,38.11,5.74,11876,1788,17500,31164
8.3,43.85,38.01,5.84,11846,1820,17498,31164
8.4,43.99,38.11,5.88,11877,1832,17455,31164
8.5,43.99,38.11,5.88,11878,1831,17455,31164
8.6,44.03,38.16,5.87,11891,1830,17443,31164
8.8,44.03,38.16,5.87,11891,1830,17443,31164
8.9,44.03,38.15,5.88,11888,1833,17443,31164
9.0,44.03,38.18,5.85,11899,1823,17442,31164
9.1,44.03,38.20,5.83,11905,1817,17442,31164
9.2,44.03,38.12,5.91,11879,1843,17442,31164
9.3,44.03,38.07,5.97,11863,1859,17442,31164
9.4,44.03,38.02,6.01,11850,1872,17442,31164
9.5,44.03,38.01,6.02,11846,1876,17442,31164
9.7,44.03,38.03,6.00,11853,1869,17442,31164
9.8,44.03,38.04,5.99,11856,1866,17442,31164
9.9,44.03,38.11,5.92,11878,1844,17442,31164
10.0,44.03,38.12,5.91,11879,1843,17442,31164
10.1,44.03,38.12,5.91,11881,1841,17442,31164
10.2,44.03,38.13,5.90,11884,1838,17442,31164
10.3,44.03,38.13,5.90,11884,1838,17442,31164
10.4,44.03,38.13,5.90,11884,1838,17442,31164
10.5,44.03,38.13,5.90,11882,1840,17442,31164
10.6,44.03,38.11,5.92,11878,1844,17442,31164
10.7,44.03,38.10,5.94,11872,1850,17442,31164
10.8,44.03,38.10,5.93,11873,1849,17442,31164
10.9,44.03,38.11,5.92,11878,1844,17442,31164
11.1,44.07,38.07,6.00,11864,1869,17431,31164
11.1,44.07,38.06,6.00,11862,1871,17431,31164
11.3,44.08,38.09,5.99,11870,1866,17428,31164
11.4,44.51,38.23,6.28,11914,1957,17293,31164
11.5,44.66,38.28,6.37,11931,1986,17247,31164
11.6,44.66,38.27,6.39,11927,1990,17247,31164
11.7,44.66,38.27,6.39,11925,1992,17247,31164
11.8,44.66,38.28,6.38,11930,1987,17247,31164
11.9,44.66,38.27,6.39,11927,1990,17247,31164
12.0,44.66,38.27,6.39,11925,1992,17247,31164
12.1,44.66,38.24,6.41,11918,1999,17247,31164
12.2,44.66,38.19,6.47,11902,2015,17247,31164
12.4,44.66,38.09,6.57,11869,2048,17247,31164
12.5,44.66,37.98,6.67,11837,2080,17247,31164
12.6,44.66,37.95,6.70,11828,2089,17247,31164
12.7,44.66,37.95,6.70,11828,2089,17247,31164
12.8,44.66,37.98,6.67,11837,2080,17247,31164
12.9,44.66,38.10,6.56,11873,2044,17247,31164
13.1,44.66,38.11,6.55,11876,2041,17247,31164
13.2,44.68,38.09,6.59,11870,2054,17240,31164
13.3,44.68,38.07,6.61,11865,2059,17240,31164
13.4,44.48,37.84,6.63,11868,2080,17412,31360
13.5,44.48,37.81,6.67,11856,2092,17412,31360
13.6,44.48,37.80,6.68,11854,2094,17412,31360
13.7,44.48,37.78,6.70,11847,2101,17412,31360
13.8,44.48,37.81,6.67,11856,2093,17411,31360
13.9,44.48,37.79,6.69,11852,2097,17411,31360
14.0,44.48,37.78,6.70,11848,2101,17411,31360
14.1,44.48,37.80,6.68,11855,2094,17411,31360
14.2,44.48,37.78,6.70,11849,2100,17411,31360
14.3,44.48,37.76,6.72,11843,2106,17411,31360
14.4,44.49,37.77,6.72,11844,2108,17408,31360
14.5,44.49,37.78,6.71,11849,2103,17408,31360
14.7,44.49,37.80,6.69,11853,2099,17408,31360
14.7,44.50,37.81,6.69,11857,2098,17405,31360
14.9,44.50,37.83,6.66,11865,2090,17405,31360
15.0,44.50,38.03,6.47,11925,2030,17405,31360
15.1,44.50,38.04,6.46,11928,2027,17405,31360
15.2,44.50,38.03,6.47,11927,2028,17405,31360
