elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.65,35.77,1.88,10045,529,17512,28086
0.0,37.65,35.77,1.89,10045,530,17511,28086
0.1,37.65,35.76,1.89,10043,532,17511,28086
0.2,37.65,35.76,1.89,10043,532,17511,28086
0.3,37.65,35.76,1.89,10044,531,17511,28086
0.4,37.65,35.76,1.89,10044,531,17511,28086
0.5,37.66,35.77,1.89,10045,531,17510,28086
0.7,37.66,35.76,1.89,10044,532,17510,28086
0.8,37.66,35.76,1.89,10044,532,17510,28086
0.9,37.66,35.76,1.90,10044,534,17508,28086
1.0,37.66,35.77,1.89,10046,532,17508,28086
1.1,37.66,35.77,1.89,10046,532,17508,28086
1.2,37.67,35.77,1.90,10045,534,17507,28086
1.3,37.67,35.77,1.90,10046,533,17507,28086
1.4,37.67,35.77,1.90,10046,533,17507,28086
1.5,37.67,35.77,1.90,10045,534,17507,28086
1.6,37.67,35.77,1.90,10045,534,17507,28086
1.8,37.67,35.77,1.89,10047,532,17507,28086
1.9,37.67,35.77,1.89,10047,532,17507,28086
2.0,37.67,35.77,1.89,10047,532,17507,28086
2.1,37.94,35.95,1.99,10097,560,17429,28086
2.2,38.12,36.00,2.12,10110,596,17380,28086
2.3,38.19,35.99,2.20,10107,619,17360,28086
2.4,38.76,36.41,2.35,10225,661,17200,28086
2.5,38.86,36.43,2.42,10232,681,17173,28086
2.6,39.18,36.68,2.50,10301,702,17083,28086
2.7,39.08,36.51,2.56,10421,732,17386,28539
2.8,39.11,36.54,2.56,10429,732,17378,28539
2.9,40.25,37.53,2.72,10852,787,17278,28917
3.0,40.29,37.52,2.76,10851,799,17267,28917
3.2,40.29,37.52,2.77,10850,802,17265,28917
3.3,40.35,37.53,2.82,10853,816,17248,28917
3.4,41.09,38.15,2.94,11033,849,17035,28917
3.5,41.55,38.49,3.06,11248,893,17082,29223
3.6,41.56,38.51,3.05,11254,891,17078,29223
3.7,41.69,38.61,3.08,11284,899,17040,29223
3.8,41.74,38.63,3.12,11347,916,17113,29376
3.9,41.83,38.69,3.14,11365,922,17089,29376
4.0,41.84,38.66,3.18,11357,934,17085,29376
4.1,42.16,38.95,3.21,11441,943,16992,29376
4.2,42.34,39.07,3.27,11477,962,16937,29376
4.3,42.24,38.88,3.36,11497,993,17078,29568
4.4,41.81,38.47,3.34,11493,997,17386,29876
4.6,41.88,38.52,3.36,11509,1003,17364,29876
4.7,41.96,38.61,3.35,11535,1002,17339,29876
4.8,41.97,38.62,3.35,11538,1002,17336,29876
4.9,41.97,38.60,3.37,11533,1007,17336,29876
5.0,41.99,38.62,3.37,11538,1007,17331,29876
5.1,42.14,38.67,3.47,11552,1037,17287,29876
5.2,42.15,38.69,3.46,11560,1033,17283,29876
5.3,42.15,38.72,3.43,11569,1024,17283,29876
5.5,42.17,38.71,3.46,11564,1035,17277,29876
5.6,42.20,38.69,3.51,11559,1048,17269,29876
5.7,42.20,38.71,3.49,11565,1043,17268,29876
5.8,42.30,38.78,3.52,11586,1052,17238,29876
5.9,42.32,38.78,3.54,11586,1059,17231,29876
6.0,42.38,38.80,3.58,11591,1070,17215,29876
6.1,42.38,38.78,3.60,11586,1075,17215,29876
6.2,42.73,38.78,3.96,11704,1195,17285,30184
6.3,42.74,38.76,3.98,11699,1201,17284,30184
6.4,42.74,38.77,3.98,11701,1201,17282,30184
6.5,42.74,38.77,3.98,11702,1200,17282,30184
6.7,42.98,38.82,4.16,11718,1256,17210,30184
6.7,43.40,38.78,4.62,11705,1396,17083,30184
6.9,43.42,38.70,4.72,11682,1424,17078,30184
7.0,43.44,38.71,4.74,11683,1430,17071,30184
7.1,43.44,38.84,4.61,11723,1390,17071,30184
7.2,43.44,38.86,4.59,11728,1385,17071,30184
7.3,43.44,38.87,4.57,11734,1379,17071,30184
7.4,43.44,38.87,4.57,11734,1379,17071,30184
7.5,43.44,38.88,4.56,11737,1376,17071,30184
7.6,43.44,38.87,4.57,11734,1379,17071,30184
7.7,43.44,38.84,4.61,11723,1390,17071,30184
7.8,43.44,38.84,4.61,11722,1391,17071,30184
7.9,43.44,38.85,4.60,11726,1387,17071,30184
8.0,43.44,38.86,4.59,11728,1385,17071,30184
8.1,43.44,38.87,4.58,11732,1381,17071,30184
8.2,43.44,38.93,4.51,11751,1362,17071,30184
8.3,43.44,38.93,4.51,11751,1362,17071,30184
8.5,43.44,38.95,4.50,11756,1357,17071,30184
8.6,43.44,38.95,4.49,11758,1355,17071,30184
8.7,43.44,38.95,4.49,11758,1355,17071,30184
8.8,43.44,38.95,4.49,11758,1355,17071,30184
8.9,43.44,38.95,4.49,11758,1355,17071,30184
9.0,43.44,38.95,4.50,11756,1357,17071,30184
9.1,43.44,38.95,4.49,11757,1356,17071,30184
9.2,43.44,38.93,4.51,11751,1362,17071,30184
9.3,43.45,38.91,4.54,11744,1370,17070,30184
9.4,43.92,39.29,4.64,11858,1400,16926,30184
9.5,43.92,39.27,4.66,11852,1406,16926,30184
9.6,43.92,39.26,4.66,11850,1408,16926,30184
9.7,43.92,39.27,4.66,11852,1406,16926,30184
9.9,44.02,39.29,4.73,11859,1428,16897,30184
10.0,43.66,38.80,4.86,11865,1485,17226,30576
10.1,43.66,38.81,4.85,11867,1483,17226,30576
10.2,43.66,38.80,4.86,11865,1486,17225,30576
10.3,43.66,38.80,4.86,11864,1487,17225,30576
10.5,43.66,38.81,4.85,11867,1484,17225,30576
10.6,43.66,38.77,4.90,11853,1498,17225,30576
10.7,43.67,38.76,4.91,11852,1500,17224,30576
10.8,43.68,38.67,5.01,11823,1532,17221,30576
10.9,43.68,38.51,5.17,11775,1580,17221,30576
11.0,43.69,38.48,5.21,11765,1594,17217,30576
11.1,43.69,38.43,5.27,11750,1610,17216,30576
11.2,43.70,38.39,5.31,11738,1624,17214,30576
11.3,43.70,38.38,5.32,11735,1627,17214,30576
11.4,43.70,38.38,5.32,11736,1627,17213,30576
11.5,43.71,38.39,5.32,11738,1628,17210,30576
11.6,43.78,38.36,5.41,11730,1655,17191,30576
11.7,43.78,38.36,5.41,11730,1655,17191,30576
11.8,43.42,37.86,5.55,11726,1719,17523,30968
11.9,43.42,37.85,5.57,11720,1726,17522,30968
12.1,43.42,37.91,5.51,11740,1706,17522,30968
12.1,43.43,37.92,5.51,11742,1706,17520,30968
12.3,43.43,37.93,5.49,11747,1701,17520,30968
12.4,43.43,37.92,5.50,11744,1704,17520,30968
12.5,43.47,37.89,5.58,11733,1728,17507,30968
