elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.76,36.03,1.73,9955,478,17200,27633
0.1,37.76,36.03,1.72,9957,476,17200,27633
0.2,37.76,36.03,1.72,9957,476,17200,27633
0.3,37.76,36.03,1.73,9956,477,17200,27633
0.4,37.76,36.03,1.73,9955,478,17200,27633
0.5,37.76,36.03,1.73,9955,478,17200,27633
0.6,37.76,36.03,1.73,9955,478,17200,27633
0.7,37.76,36.03,1.73,9956,477,17200,27633
0.8,37.76,36.03,1.72,9957,476,17200,27633
0.9,37.76,36.04,1.72,9958,475,17200,27633
1.0,37.76,36.04,1.72,9958,475,17200,27633
1.1,37.76,36.04,1.72,9958,475,17200,27633
1.2,37.76,36.03,1.72,9957,476,17200,27633
1.4,37.76,36.03,1.72,9957,476,17200,27633
1.4,37.76,36.04,1.72,9958,475,17200,27633
1.6,37.76,36.02,1.73,9954,479,17200,27633
1.7,37.76,36.03,1.72,9957,476,17200,27633
1.8,37.76,36.02,1.74,9953,480,17200,27633
1.9,37.76,36.03,1.73,9955,478,17200,27633
2.0,37.76,36.04,1.72,9958,475,17200,27633
2.1,37.76,36.03,1.72,9957,476,17200,27633
2.2,38.25,36.43,1.83,10066,505,17062,27633
2.3,38.45,36.50,1.95,10087,539,17007,27633
2.4,38.84,36.79,2.05,10278,572,17085,27935
2.5,38.89,36.78,2.12,10274,591,17070,27935
2.6,39.17,36.88,2.29,10358,644,17084,28086
2.7,39.68,37.04,2.64,10584,754,17238,28576
2.8,39.97,37.33,2.64,10739,758,17267,28764
2.9,40.00,37.34,2.66,10741,764,17259,28764
3.0,41.09,38.32,2.77,11021,798,16945,28764
3.1,41.13,38.34,2.80,11027,805,16932,28764
3.2,41.91,38.67,3.24,11123,932,16709,28764
3.3,41.99,38.63,3.36,11111,966,16687,28764
3.4,42.26,38.41,3.86,11048,1109,16607,28764
3.6,42.31,38.38,3.93,11040,1130,16594,28764
3.7,42.36,38.40,3.96,11044,1139,16581,28764
3.8,42.44,38.21,4.22,11063,1223,16666,28952
3.9,42.44,38.23,4.21,11069,1218,16665,28952
4.0,42.00,37.95,4.05,11105,1185,16970,29260
4.1,41.84,37.84,3.99,11131,1175,17108,29414
4.2,42.15,38.17,3.98,11227,1171,17016,29414
4.3,42.90,38.92,3.98,11447,1172,16795,29414
4.4,42.92,38.93,3.99,11451,1174,16789,29414
