elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.75,36.22,1.53,10064,425,17295,27784
0.1,37.75,36.22,1.53,10064,425,17295,27784
0.2,37.75,36.23,1.52,10067,422,17295,27784
0.3,37.75,36.24,1.52,10068,421,17295,27784
0.5,37.75,36.23,1.52,10066,423,17295,27784
0.6,37.75,36.23,1.52,10066,423,17295,27784
0.7,37.75,36.23,1.52,10066,423,17295,27784
0.8,37.75,36.23,1.52,10066,423,17295,27784
0.9,37.75,36.23,1.52,10066,423,17295,27784
1.0,37.75,36.23,1.52,10066,423,17295,27784
1.2,37.75,36.23,1.53,10065,424,17295,27784
1.3,37.75,36.23,1.52,10066,423,17295,27784
1.4,37.75,36.22,1.53,10064,425,17295,27784
1.5,37.75,36.23,1.53,10065,424,17295,27784
1.6,37.75,36.23,1.53,10065,424,17295,27784
1.8,37.75,36.22,1.53,10063,426,17295,27784
1.9,37.75,36.23,1.53,10065,424,17295,27784
2.0,37.75,36.23,1.53,10065,424,17295,27784
2.1,38.25,36.66,1.59,10186,442,17156,27784
2.3,38.37,36.72,1.66,10201,460,17123,27784
2.4,38.35,36.65,1.69,10405,481,17502,28388
2.5,38.58,36.81,1.76,10450,501,17437,28388
2.6,38.75,36.92,1.83,10480,519,17389,28388
2.8,39.56,37.60,1.95,10803,561,17364,28728
2.9,39.57,37.48,2.09,10768,601,17359,28728
3.0,39.58,37.46,2.12,10761,610,17357,28728
3.1,40.43,38.03,2.39,11070,697,17339,29106
3.3,40.52,38.10,2.43,11088,706,17312,29106
3.4,40.13,37.74,2.39,11100,704,17610,29414
3.5,40.13,37.79,2.34,11117,687,17610,29414
3.6,40.81,38.22,2.59,11360,771,17591,29722
3.8,40.87,38.21,2.66,11356,791,17575,29722
4.0,41.13,38.33,2.81,11392,834,17496,29722
4.1,41.16,38.36,2.80,11402,831,17489,29722
4.2,41.17,38.40,2.77,11413,823,17486,29722
4.4,41.37,38.57,2.80,11464,832,17426,29722
4.5,41.42,38.63,2.79,11542,834,17500,29876
4.7,41.57,38.60,2.97,11531,887,17458,29876
4.9,42.20,38.92,3.27,11629,978,17269,29876
5.0,42.31,38.96,3.35,11640,1001,17235,29876
5.1,42.32,38.91,3.41,11626,1018,17232,29876
