elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.76,35.95,1.81,9934,501,17198,27633
0.0,37.76,35.94,1.82,9932,503,17198,27633
0.1,37.77,35.95,1.81,9935,501,17197,27633
0.3,37.77,35.95,1.82,9934,502,17197,27633
0.4,37.77,35.95,1.81,9935,501,17197,27633
0.5,37.77,35.96,1.81,9937,499,17197,27633
0.6,37.77,35.96,1.80,9938,498,17197,27633
0.7,37.77,35.96,1.81,9937,499,17197,27633
0.8,37.77,35.96,1.80,9938,498,17197,27633
0.9,37.77,35.96,1.81,9936,500,17197,27633
1.1,37.77,35.96,1.80,9938,498,17197,27633
1.2,37.77,35.96,1.81,9937,499,17197,27633
1.3,37.77,35.95,1.82,9934,502,17197,27633
1.4,37.77,35.95,1.82,9934,503,17196,27633
1.6,37.77,35.96,1.81,9937,500,17196,27633
1.7,37.77,35.96,1.81,9937,500,17196,27633
1.8,37.78,35.95,1.82,9935,504,17194,27633
1.9,37.78,35.96,1.82,9937,502,17194,27633
2.1,37.97,36.04,1.93,10068,538,17329,27935
2.2,38.11,36.09,2.02,10083,563,17289,27935
2.3,37.82,35.79,2.03,10118,575,17579,28272
2.4,38.42,36.33,2.10,10270,593,17409,28272
2.6,38.69,36.48,2.21,10314,625,17333,28272
2.7,38.80,36.43,2.37,10423,679,17509,28611
2.9,39.18,36.57,2.61,10574,755,17588,28917
3.0,39.59,36.99,2.60,10695,752,17470,28917
3.1,40.59,37.91,2.68,11034,780,17292,29106
3.2,40.62,37.91,2.71,11033,790,17283,29106
3.4,41.33,38.16,3.17,11108,922,17076,29106
3.5,41.34,38.10,3.24,11090,943,17073,29106
3.6,41.68,38.19,3.49,11116,1016,16974,29106
3.7,41.73,38.16,3.57,11106,1040,16960,29106
3.9,41.77,38.21,3.57,11120,1039,16947,29106
4.0,41.80,38.25,3.55,11132,1033,16941,29106
4.1,41.81,38.24,3.57,11130,1038,16938,29106
4.2,41.81,38.38,3.43,11171,997,16938,29106
4.3,41.84,38.35,3.48,11163,1014,16929,29106
4.4,41.41,37.99,3.42,11174,1006,17234,29414
4.6,41.41,38.03,3.38,11185,995,17234,29414
4.7,41.30,37.94,3.37,11217,996,17355,29568
4.8,41.34,37.94,3.40,11219,1005,17344,29568
4.9,41.39,37.73,3.66,11301,1097,17554,29952
5.0,41.39,37.74,3.65,11305,1093,17554,29952
5.2,41.57,37.91,3.66,11355,1097,17500,29952
5.3,41.59,37.89,3.70,11350,1107,17495,29952
5.4,43.10,39.09,4.02,11707,1203,17042,29952
5.5,42.81,38.81,4.00,11745,1210,17309,30264
5.7,42.89,38.79,4.10,11739,1241,17284,30264
5.8,43.08,38.63,4.45,11765,1356,17337,30458
5.9,43.27,38.51,4.76,11730,1450,17278,30458
6.0,43.27,38.47,4.80,11717,1463,17278,30458
6.1,43.56,38.74,4.82,11800,1468,17190,30458
6.3,43.57,38.76,4.82,11804,1468,17186,30458
6.4,43.59,38.81,4.77,11822,1454,17182,30458
6.5,43.68,38.85,4.83,11832,1471,17155,30458
6.7,43.68,38.89,4.78,11846,1457,17155,30458
6.8,43.79,38.98,4.81,11874,1464,17120,30458
6.9,43.87,38.94,4.93,11860,1503,17095,30458
7.0,43.88,38.99,4.89,11876,1488,17094,30458
7.1,43.89,38.99,4.90,11875,1493,17090,30458
7.3,43.89,38.97,4.92,11869,1499,17090,30458
7.4,43.89,38.99,4.90,11877,1491,17090,30458
7.5,43.89,38.99,4.90,11877,1491,17090,30458
7.6,43.89,38.99,4.90,11875,1493,17090,30458
7.7,43.89,39.00,4.89,11878,1490,17090,30458
7.8,43.89,39.03,4.86,11888,1480,17090,30458
8.0,43.89,39.04,4.85,11891,1477,17090,30458
8.1,43.89,39.04,4.85,11892,1476,17090,30458
8.2,43.89,39.08,4.81,11904,1464,17090,30458
8.3,43.89,39.08,4.81,11903,1465,17090,30458
8.5,43.89,39.08,4.81,11904,1464,17090,30458
8.6,43.89,39.09,4.80,11906,1462,17090,30458
8.7,43.89,39.07,4.82,11899,1469,17090,30458
8.8,43.89,39.07,4.82,11899,1469,17090,30458
8.9,43.89,39.07,4.82,11901,1467,17090,30458
9.0,43.89,39.06,4.83,11896,1472,17090,30458
9.2,43.89,39.05,4.84,11893,1475,17090,30458
9.3,44.00,39.17,4.83,11929,1472,17057,30458
9.4,44.00,39.16,4.84,11926,1475,17057,30458
9.5,44.00,39.10,4.90,11910,1491,17057,30458
9.6,44.00,39.16,4.84,11926,1475,17057,30458
9.8,44.00,39.13,4.87,11917,1484,17057,30458
9.9,44.00,39.14,4.87,11921,1482,17055,30458
10.0,44.00,39.12,4.89,11914,1489,17055,30458
10.2,44.00,39.11,4.90,11912,1491,17055,30458
10.3,44.00,39.10,4.90,11910,1493,17055,30458
10.4,44.00,39.10,4.90,11910,1493,17055,30458
10.5,44.00,39.09,4.92,11905,1498,17055,30458
10.6,44.00,39.08,4.93,11902,1501,17055,30458
10.7,44.00,39.06,4.94,11898,1505,17055,30458
10.8,44.00,39.06,4.94,11898,1505,17055,30458
10.9,44.00,39.09,4.92,11905,1498,17055,30458
11.1,44.00,39.09,4.91,11906,1497,17055,30458
11.2,44.00,39.07,4.94,11899,1504,17055,30458
11.3,44.00,39.08,4.93,11902,1501,17055,30458
11.4,44.00,39.06,4.94,11897,1506,17055,30458
11.6,44.00,39.06,4.94,11897,1506,17055,30458
11.7,44.00,39.06,4.94,11897,1506,17055,30458
11.8,44.00,39.07,4.94,11899,1504,17055,30458
12.0,44.00,39.07,4.94,11899,1504,17055,30458
12.1,44.00,39.06,4.94,11897,1506,17055,30458
12.2,44.00,39.05,4.95,11895,1508,17055,30458
12.3,44.00,39.05,4.96,11893,1510,17055,30458
12.4,44.00,39.04,4.96,11891,1512,17055,30458
12.6,44.00,39.03,4.97,11888,1515,17055,30458
12.7,44.00,39.03,4.97,11888,1515,17055,30458
12.8,44.00,39.02,4.98,11886,1517,17055,30458
12.9,44.00,39.02,4.98,11886,1517,17055,30458
13.0,44.00,39.03,4.98,11887,1516,17055,30458
13.2,44.00,39.03,4.97,11888,1515,17055,30458
13.3,44.00,39.06,4.95,11896,1507,17055,30458
13.4,44.00,39.07,4.93,11901,1502,17055,30458
13.5,44.00,39.08,4.92,11904,1499,17055,30458
13.6,44.00,39.09,4.92,11905,1498,17055,30458
13.7,44.00,39.11,4.89,11913,1490,17055,30458
13.9,44.00,39.12,4.89,11914,1489,17055,30458
14.0,44.00,39.12,4.89,11915,1488,17055,30458
14.1,44.00,39.12,4.88,11916,1487,17055,30458
14.2,44.00,39.12,4.88,11916,1487,17055,30458
14.4,44.00,39.12,4.89,11915,1488,17055,30458
14.5,44.00,39.13,4.88,11918,1485,17055,30458
14.6,44.00,39.13,4.88,11918,1485,17055,30458
14.7,44.00,39.13,4.88,11918,1485,17055,30458
14.8,44.00,39.14,4.87,11920,1483,17055,30458
14.9,44.00,39.13,4.87,11919,1484,17055,30458
15.1,44.00,39.13,4.88,11917,1486,17055,30458
15.2,44.00,39.13,4.87,11919,1484,17055,30458
15.3,44.00,39.14,4.87,11920,1483,17055,30458
15.4,44.00,39.13,4.87,11919,1484,17055,30458
15.5,44.00,39.14,4.87,11920,1483,17055,30458
15.6,44.00,39.13,4.87,11919,1484,17055,30458
15.8,44.00,39.13,4.87,11919,1484,17055,30458
15.9,44.00,39.14,4.87,11920,1483,17055,30458
16.0,44.00,39.14,4.87,11920,1483,17055,30458
16.1,44.00,39.14,4.87,11920,1483,17055,30458
16.2,44.00,39.14,4.87,11920,1483,17055,30458
16.3,44.00,39.14,4.87,11920,1483,17055,30458
16.5,44.00,39.13,4.87,11919,1484,17055,30458
16.6,44.00,39.13,4.87,11919,1484,17055,30458
16.7,44.00,39.13,4.87,11919,1484,17055,30458
16.8,44.00,39.13,4.87,11919,1484,17055,30458
16.9,44.00,39.13,4.87,11919,1484,17055,30458
17.1,44.00,39.13,4.87,11919,1484,17055,30458
17.2,44.00,39.13,4.87,11919,1484,17055,30458
17.3,44.00,39.13,4.88,11918,1485,17055,30458
17.4,44.00,39.13,4.88,11918,1485,17055,30458
17.5,44.00,39.13,4.88,11917,1486,17055,30458
17.6,44.00,39.13,4.88,11918,1485,17055,30458
17.8,44.00,39.13,4.88,11918,1485,17055,30458
17.9,44.00,39.13,4.88,11917,1486,17055,30458
18.0,44.00,39.13,4.88,11918,1485,17055,30458
18.1,44.00,39.13,4.87,11919,1484,17055,30458
18.2,44.00,39.13,4.88,11918,1485,17055,30458
18.3,44.00,39.14,4.87,11920,1483,17055,30458
18.5,44.00,39.14,4.87,11920,1483,17055,30458
18.6,44.00,39.13,4.88,11918,1485,17055,30458
18.7,44.00,39.13,4.87,11919,1484,17055,30458
18.8,44.00,39.13,4.87,11919,1484,17055,30458
18.9,44.00,39.13,4.87,11919,1484,17055,30458
19.0,44.00,39.13,4.87,11919,1484,17055,30458
19.2,44.00,39.14,4.87,11920,1483,17055,30458
19.3,44.00,39.13,4.87,11919,1484,17055,30458
19.4,44.00,39.14,4.87,11920,1483,17055,30458
19.5,44.00,39.14,4.87,11921,1482,17055,30458
19.7,44.00,39.14,4.87,11921,1482,17055,30458
19.8,44.00,39.14,4.87,11921,1482,17055,30458
19.9,44.00,39.14,4.87,11921,1482,17055,30458
20.0,44.00,39.14,4.87,11921,1482,17055,30458
20.1,44.00,39.14,4.87,11920,1483,17055,30458
20.3,44.00,39.14,4.87,11920,1483,17055,30458
20.4,44.00,39.14,4.87,11920,1483,17055,30458
20.5,44.00,39.14,4.87,11920,1483,17055,30458
20.6,44.00,39.14,4.87,11920,1483,17055,30458
20.7,44.00,39.13,4.87,11919,1484,17055,30458
20.8,44.00,39.13,4.88,11918,1485,17055,30458
21.0,44.00,39.12,4.89,11914,1489,17055,30458
21.1,44.00,39.11,4.90,11912,1491,17055,30458
21.2,44.07,39.12,4.94,11916,1506,17036,30458
21.3,44.07,39.10,4.97,11909,1513,17036,30458
21.5,44.07,39.10,4.97,11909,1514,17035,30458
21.6,44.07,39.08,4.99,11902,1521,17035,30458
21.7,44.07,39.07,5.00,11901,1522,17035,30458
21.9,44.26,39.07,5.19,11901,1580,16977,30458
22.0,44.26,39.09,5.17,11907,1575,16976,30458
22.1,44.26,39.11,5.16,11911,1571,16976,30458
22.3,44.26,39.07,5.19,11900,1582,16976,30458
22.4,44.27,39.05,5.21,11895,1588,16975,30458
