elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.53,36.01,1.52,10113,427,17546,28086
0.0,37.53,36.01,1.51,10115,425,17546,28086
0.2,37.53,36.02,1.51,10117,424,17545,28086
0.3,37.53,36.02,1.51,10116,425,17545,28086
0.4,37.53,36.02,1.51,10117,424,17545,28086
0.5,37.53,36.02,1.51,10116,425,17545,28086
0.7,37.53,36.03,1.51,10118,424,17544,28086
0.8,37.53,36.03,1.51,10118,424,17544,28086
0.9,37.53,36.02,1.52,10116,426,17544,28086
1.0,37.53,36.02,1.52,10116,426,17544,28086
1.1,37.53,36.02,1.52,10116,426,17544,28086
1.2,37.53,36.03,1.51,10118,424,17544,28086
1.4,37.53,36.02,1.51,10117,425,17544,28086
1.5,37.54,36.01,1.52,10115,428,17543,28086
1.6,37.54,36.02,1.52,10116,427,17543,28086
1.7,37.54,36.02,1.52,10117,426,17543,28086
1.9,37.54,36.02,1.52,10117,426,17543,28086
2.0,37.54,36.03,1.51,10118,425,17543,28086
2.1,38.01,36.40,1.61,10224,451,17411,28086
2.2,38.17,36.51,1.67,10253,468,17365,28086
2.3,38.92,37.21,1.71,10451,481,17154,28086
2.4,39.08,37.29,1.79,10472,503,17111,28086
2.6,39.27,37.44,1.83,10514,515,17057,28086
2.7,39.98,38.09,1.90,10826,539,17059,28424
2.8,39.66,37.63,2.03,10810,584,17334,28728
2.9,39.70,37.66,2.04,10820,585,17323,28728
3.0,40.58,38.30,2.28,11148,663,17295,29106
3.2,40.96,38.38,2.58,11171,750,17185,29106
3.3,41.06,38.37,2.69,11167,783,17156,29106
3.4,41.10,38.47,2.64,11196,768,17142,29106
3.5,41.12,38.20,2.92,11118,850,17138,29106
3.7,42.14,38.99,3.15,11348,918,16840,29106
3.8,41.79,38.69,3.11,11379,914,17121,29414
3.9,41.80,38.70,3.10,11384,911,17119,29414
4.0,41.90,38.93,2.97,11450,875,17089,29414
4.2,42.17,38.88,3.29,11496,973,17099,29568
4.3,41.96,38.42,3.54,11479,1057,17340,29876
4.4,42.10,38.45,3.66,11486,1092,17298,29876
4.5,42.10,38.42,3.68,11479,1100,17297,29876
4.7,42.10,38.43,3.67,11482,1097,17297,29876
4.8,42.16,38.49,3.68,11498,1099,17279,29876
4.9,42.30,38.58,3.72,11527,1110,17239,29876
5.1,42.32,38.59,3.73,11528,1115,17233,29876
5.2,42.39,38.61,3.77,11536,1127,17213,29876
5.3,42.41,38.49,3.91,11500,1169,17207,29876
5.5,42.67,38.64,4.03,11544,1203,17129,29876
5.6,42.93,38.64,4.29,11545,1281,17050,29876
5.7,43.02,38.74,4.29,11573,1281,17022,29876
5.9,43.03,38.81,4.22,11594,1261,17021,29876
6.0,43.04,38.94,4.10,11634,1224,17018,29876
6.1,43.22,39.13,4.09,11690,1223,16963,29876
6.2,43.37,39.28,4.09,11734,1222,16920,29876
6.3,43.37,39.32,4.04,11748,1208,16920,29876
6.4,43.37,39.33,4.03,11751,1205,16920,29876
6.5,43.37,39.32,4.05,11746,1210,16920,29876
6.7,43.37,39.31,4.06,11744,1212,16920,29876
6.8,43.39,39.33,4.07,11749,1215,16912,29876
6.9,43.39,39.33,4.06,11750,1214,16912,29876
7.0,43.39,39.34,4.05,11753,1211,16912,29876
7.2,43.42,39.34,4.07,11754,1217,16905,29876
7.3,43.42,39.35,4.07,11756,1215,16905,29876
7.4,43.42,39.35,4.07,11755,1216,16905,29876
7.5,43.42,39.31,4.11,11744,1227,16905,29876
7.6,43.42,39.29,4.13,11738,1234,16904,29876
