elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,37.62,36.04,1.58,10013,439,17332,27784
0.1,37.62,36.04,1.58,10014,438,17332,27784
0.2,37.62,36.04,1.58,10014,438,17332,27784
0.3,37.62,36.05,1.57,10015,437,17332,27784
0.5,37.62,36.05,1.57,10016,436,17332,27784
0.6,37.62,36.05,1.57,10017,435,17332,27784
0.7,37.62,36.05,1.57,10015,437,17332,27784
0.8,37.62,36.05,1.57,10015,437,17332,27784
0.9,37.62,36.04,1.58,10014,438,17332,27784
1.1,37.62,36.05,1.57,10015,437,17332,27784
1.2,37.62,36.05,1.57,10015,437,17332,27784
1.3,37.62,36.04,1.58,10014,438,17332,27784
1.4,37.62,36.04,1.58,10013,439,17332,27784
1.5,37.62,36.04,1.58,10013,439,17332,27784
1.6,37.62,36.04,1.58,10012,440,17332,27784
1.8,37.62,36.04,1.58,10013,439,17332,27784
1.9,37.62,36.05,1.57,10015,437,17332,27784
2.0,37.62,36.05,1.57,10015,437,17332,27784
2.1,37.72,36.13,1.60,10037,444,17303,27784
2.2,38.16,36.47,1.70,10132,471,17181,27784
2.3,38.41,36.64,1.77,10180,492,17112,27784
2.5,38.82,37.01,1.81,10284,503,16997,27784
2.6,38.51,36.68,1.84,10301,516,17269,28086
2.7,38.80,36.92,1.87,10370,526,17190,28086
2.8,39.37,37.25,2.11,10589,601,17234,28424
3.0,39.92,37.82,2.10,10750,598,17076,28424
3.1,40.70,38.56,2.14,11032,612,16967,28611
3.3,40.74,38.58,2.16,11038,619,16954,28611
3.5,40.81,38.62,2.19,11050,626,16935,28611
3.6,40.83,38.58,2.25,11039,643,16929,28611
3.7,41.09,38.85,2.24,11115,642,16854,28611
3.8,41.91,39.36,2.56,11381,739,16797,28917
4.0,42.00,39.35,2.65,11379,765,16773,28917
4.1,41.65,38.96,2.69,11384,787,17052,29223
4.3,41.83,38.91,2.92,11445,859,17110,29414
4.4,41.83,38.99,2.84,11468,836,17110,29414
4.6,41.76,38.85,2.92,11487,862,17219,29568
4.7,41.84,38.88,2.97,11495,877,17196,29568
4.8,42.26,39.05,3.21,11546,948,17074,29568
4.9,42.46,39.21,3.26,11593,963,17012,29568
5.1,42.60,39.28,3.32,11614,983,16971,29568
5.2,42.56,39.11,3.45,11685,1031,17160,29876
5.3,43.00,39.24,3.77,11722,1125,17029,29876
5.5,43.01,39.19,3.82,11708,1141,17027,29876
5.6,43.04,39.21,3.83,11713,1145,17018,29876
5.8,43.04,39.24,3.81,11722,1137,17017,29876
5.9,44.13,39.67,4.45,11853,1330,16693,29876
6.0,44.14,39.69,4.45,11858,1328,16690,29876
