elapsed_seconds,percent_known,percent_free,percent_occupied,free_cells,occupied_cells,unknown_cells,total_cells
0.0,38.12,36.47,1.64,10134,457,17193,27784
0.0,38.12,36.49,1.63,10137,454,17193,27784
0.1,38.12,36.48,1.64,10135,456,17193,27784
0.2,38.12,36.47,1.64,10134,457,17193,27784
0.3,38.12,36.48,1.64,10135,456,17193,27784
0.5,38.12,36.47,1.64,10134,457,17193,27784
0.6,38.12,36.48,1.64,10135,456,17193,27784
0.7,38.12,36.49,1.63,10137,454,17193,27784
0.8,38.12,36.47,1.64,10134,457,17193,27784
0.9,38.12,36.48,1.64,10135,456,17193,27784
1.0,38.12,36.49,1.63,10138,453,17193,27784
1.2,38.12,36.47,1.64,10134,457,17193,27784
1.3,38.12,36.48,1.64,10135,456,17193,27784
1.4,38.12,36.48,1.64,10135,457,17192,27784
1.5,38.12,36.47,1.66,10132,460,17192,27784
1.7,38.12,36.47,1.66,10132,460,17192,27784
1.8,38.12,36.47,1.65,10134,458,17192,27784
1.9,38.49,36.73,1.76,10205,488,17091,27784
2.0,38.20,36.44,1.77,10234,496,17356,28086
2.1,37.97,36.16,1.81,10223,512,17537,28272
2.3,38.43,36.52,1.91,10326,539,17407,28272
2.4,38.51,36.58,1.93,10343,545,17384,28272
2.5,38.90,36.92,1.99,10493,565,17366,28424
2.7,39.03,36.79,2.24,10640,647,17630,28917
2.8,39.55,37.31,2.24,10788,649,17480,28917
2.9,40.85,38.11,2.74,11093,797,17216,29106
3.0,40.87,38.13,2.75,11097,799,17210,29106
3.1,40.94,38.19,2.75,11116,800,17190,29106
3.2,41.16,38.35,2.81,11162,817,17127,29106
3.4,42.43,39.23,3.21,11418,933,16755,29106
3.5,42.55,39.16,3.39,11398,986,16722,29106
3.7,42.61,39.05,3.56,11367,1036,16703,29106
3.9,42.62,38.72,3.90,11416,1149,16919,29484
3.9,43.00,39.00,4.00,11572,1186,16915,29673
4.1,42.39,38.43,3.95,11585,1192,17367,30144
4.2,42.60,38.39,4.21,11571,1269,17304,30144
4.3,42.61,38.45,4.16,11589,1254,17301,30144
4.4,42.61,38.46,4.15,11593,1252,17299,30144
4.5,42.62,38.46,4.16,11594,1253,17297,30144
4.6,42.62,38.48,4.14,11598,1249,17297,30144
4.8,42.62,38.47,4.15,11597,1250,17297,30144
4.9,42.62,38.48,4.14,11600,1247,17297,30144
5.0,42.62,38.58,4.04,11629,1218,17297,30144
5.1,42.62,38.60,4.02,11637,1211,17296,30144
5.2,42.63,38.50,4.12,11606,1243,17295,30144
5.3,42.64,38.49,4.15,11602,1250,17292,30144
5.5,42.65,38.45,4.19,11591,1264,17289,30144
5.6,42.77,38.58,4.19,11629,1264,17251,30144
5.7,42.77,38.58,4.19,11629,1264,17251,30144
5.8,42.79,38.59,4.20,11633,1266,17245,30144
6.0,42.79,38.58,4.21,11631,1268,17245,30144
6.1,42.79,38.58,4.21,11630,1269,17245,30144
6.2,42.79,38.56,4.23,11624,1275,17245,30144
6.3,42.79,38.54,4.25,11619,1280,17245,30144
6.4,42.79,38.55,4.24,11621,1278,17245,30144
6.5,42.79,38.54,4.25,11617,1282,17245,30144
6.6,42.79,38.55,4.24,11621,1279,17244,30144
6.8,42.79,38.58,4.22,11629,1271,17244,30144
6.9,42.84,38.59,4.24,11634,1279,17231,30144
7.0,42.84,38.59,4.24,11634,1279,17231,30144
7.1,42.84,38.60,4.24,11635,1278,17231,30144
7.3,42.84,38.61,4.22,11640,1273,17231,30144
7.4,42.84,38.61,4.23,11639,1274,17231,30144
7.5,42.84,38.58,4.26,11630,1285,17229,30144
7.6,42.86,38.59,4.27,11633,1288,17223,30144
7.8,42.86,38.59,4.27,11633,1288,17223,30144
7.9,42.87,38.60,4.27,11636,1287,17221,30144
8.0,42.48,38.24,4.24,11648,1290,17520,30458
8.1,42.60,38.25,4.35,11650,1326,17482,30458
8.3,42.38,38.07,4.31,11715,1325,17732,30772
8.4,42.40,38.10,4.30,11724,1322,17726,30772
8.5,42.19,37.93,4.26,11731,1318,17880,30929
8.6,42.23,37.96,4.27,11741,1320,17868,30929
8.8,42.32,38.06,4.26,11771,1317,17841,30929
8.9,42.32,38.05,4.27,11768,1320,17841,30929
9.0,42.32,38.03,4.28,11763,1325,17841,30929
9.1,42.32,38.01,4.31,11755,1333,17841,30929
9.3,42.32,38.01,4.31,11756,1332,17841,30929
9.4,42.32,38.01,4.31,11755,1333,17841,30929
9.5,42.32,38.00,4.32,11752,1336,17841,30929
9.6,42.32,37.98,4.34,11746,1342,17841,30929
9.8,42.32,37.99,4.33,11749,1339,17841,30929
9.9,42.32,38.00,4.32,11753,1335,17841,30929
10.0,42.32,37.99,4.32,11751,1337,17841,30929
10.1,42.32,38.00,4.32,11752,1336,17841,30929
10.2,42.32,38.00,4.32,11752,1336,17841,30929
10.4,42.32,38.02,4.30,11758,1330,17841,30929
10.5,42.32,38.00,4.32,11754,1335,17840,30929
10.6,42.36,38.03,4.32,11763,1337,17829,30929
10.7,42.41,38.10,4.31,11785,1332,17812,30929
10.8,42.41,38.06,4.35,11772,1346,17811,30929
10.9,42.41,38.05,4.37,11767,1351,17811,30929
11.0,42.05,37.59,4.47,11773,1399,18151,31323
11.2,42.09,37.62,4.47,11785,1400,18138,31323
11.3,41.67,37.24,4.43,11784,1401,18456,31641
11.4,41.83,37.40,4.42,11835,1400,18406,31641
11.5,41.62,37.02,4.60,11891,1478,18749,32118
11.6,41.85,37.21,4.64,11951,1491,18676,32118
11.7,41.86,37.19,4.67,11945,1499,18674,32118
11.8,41.86,37.23,4.63,11956,1488,18674,32118
12.0,41.86,37.19,4.67,11945,1499,18674,32118
12.1,41.92,37.27,4.65,11970,1494,18654,32118
12.2,42.01,37.34,4.67,11994,1499,18625,32118
12.3,42.01,37.32,4.69,11988,1505,18625,32118
12.4,42.01,37.30,4.71,11980,1513,18625,32118
12.5,42.01,37.31,4.70,11982,1511,18625,32118
12.6,42.01,37.30,4.71,11980,1513,18625,32118
12.7,42.01,37.30,4.71,11979,1514,18625,32118
12.9,42.01,37.31,4.70,11982,1511,18625,32118
13.0,42.02,37.31,4.71,11983,1512,18623,32118
13.1,42.02,37.31,4.71,11984,1512,18622,32118
13.2,42.02,37.30,4.72,11980,1516,18622,32118
13.3,42.04,37.30,4.73,11981,1520,18617,32118
13.4,42.04,37.29,4.75,11976,1527,18615,32118
13.5,42.04,37.30,4.75,11979,1524,18615,32118
13.6,42.04,37.30,4.74,11980,1523,18615,32118
13.8,42.05,37.29,4.76,11976,1530,18612,32118
13.9,42.05,37.31,4.75,11982,1524,18612,32118
14.0,42.11,37.36,4.75,11998,1526,18594,32118
14.1,42.15,37.39,4.77,12008,1531,18579,32118
14.2,42.15,37.40,4.76,12011,1528,18579,32118
14.4,42.15,37.41,4.75,12015,1524,18579,32118
14.5,42.15,37.40,4.76,12011,1528,18579,32118
14.6,42.15,37.40,4.75,12013,1526,18579,32118
14.7,42.15,37.41,4.74,12016,1523,18579,32118
14.9,42.15,37.42,4.74,12017,1522,18579,32118
15.0,42.15,37.42,4.73,12019,1520,18579,32118
15.1,42.15,37.42,4.74,12018,1521,18579,32118
15.2,42.15,37.42,4.73,12020,1519,18579,32118
15.4,42.15,37.42,4.73,12020,1519,18579,32118
15.5,42.15,37.43,4.72,12022,1517,18579,32118
15.6,42.15,37.44,4.71,12025,1514,18579,32118
15.7,42.15,37.45,4.70,12028,1511,18579,32118
15.9,42.15,37.46,4.70,12031,1508,18579,32118
16.0,42.15,37.47,4.68,12036,1503,18579,32118
16.1,42.15,37.48,4.68,12037,1502,18579,32118
16.2,42.15,37.47,4.68,12036,1503,18579,32118
16.3,42.15,37.48,4.67,12039,1500,18579,32118
16.4,42.15,37.49,4.67,12040,1499,18579,32118
16.6,42.15,37.49,4.67,12040,1499,18579,32118
16.7,42.15,37.49,4.67,12040,1499,18579,32118
16.8,42.16,37.49,4.67,12040,1500,18578,32118
16.9,42.16,37.49,4.67,12040,1500,18578,32118
17.1,42.16,37.49,4.67,12041,1499,18578,32118
17.2,42.16,37.49,4.67,12041,1499,18578,32118
17.3,42.16,37.49,4.67,12040,1500,18578,32118
17.4,42.16,37.49,4.67,12041,1499,18578,32118
17.6,42.16,37.49,4.67,12041,1499,18578,32118
17.7,42.16,37.48,4.67,12039,1501,18578,32118
17.8,42.16,37.49,4.66,12042,1498,18578,32118
17.9,42.16,37.49,4.67,12041,1499,18578,32118
18.0,42.16,37.49,4.67,12041,1499,18578,32118
18.2,42.16,37.49,4.67,12041,1499,18578,32118
18.3,42.16,37.49,4.67,12040,1500,18578,32118
18.4,42.16,37.49,4.67,12040,1500,18578,32118
18.5,42.16,37.49,4.67,12041,1499,18578,32118
18.6,42.16,37.49,4.67,12041,1499,18578,32118
18.7,42.16,37.49,4.67,12041,1499,18578,32118
18.9,42.16,37.49,4.67,12040,1500,18578,32118
19.0,42.16,37.49,4.67,12040,1500,18578,32118
19.1,42.16,37.48,4.67,12039,1501,18578,32118
19.2,42.16,37.49,4.67,12040,1500,18578,32118
19.3,42.16,37.48,4.67,12039,1501,18578,32118
19.4,42.16,37.48,4.67,12039,1501,18578,32118
19.6,42.16,37.49,4.67,12040,1500,18578,32118
19.7,42.16,37.49,4.67,12040,1500,18578,32118
19.8,42.16,37.49,4.67,12040,1500,18578,32118
19.9,42.16,37.48,4.67,12039,1501,18578,32118
20.0,42.16,37.49,4.67,12040,1500,18578,32118
20.2,42.16,37.49,4.67,12041,1499,18578,32118
20.3,42.16,37.49,4.67,12041,1499,18578,32118
20.4,42.16,37.49,4.67,12040,1500,18578,32118
20.5,42.16,37.49,4.67,12040,1500,18578,32118
20.6,42.16,37.49,4.67,12040,1500,18578,32118
20.7,42.16,37.49,4.67,12040,1500,18578,32118
20.8,42.16,37.49,4.67,12040,1500,18578,32118
21.0,42.16,37.49,4.67,12040,1500,18578,32118
21.1,42.16,37.49,4.67,12040,1500,18578,32118
21.2,42.16,37.49,4.67,12040,1500,18578,32118
21.3,42.16,37.48,4.67,12039,1501,18578,32118
21.5,42.16,37.49,4.67,12040,1500,18578,32118
21.6,42.16,37.48,4.68,12038,1502,18578,32118
21.7,42.16,37.48,4.68,12038,1502,18578,32118
21.8,42.16,37.49,4.67,12040,1500,18578,32118
21.9,42.16,37.49,4.67,12040,1500,18578,32118
22.0,42.16,37.49,4.67,12040,1500,18578,32118
22.2,42.16,37.48,4.67,12039,1501,18578,32118
22.3,42.16,37.48,4.67,12039,1501,18578,32118
22.4,42.16,37.49,4.68,12040,1502,18576,32118
22.5,42.16,37.49,4.68,12040,1502,18576,32118
22.7,42.16,37.46,4.70,12033,1509,18576,32118
22.8,42.19,37.47,4.72,12034,1515,18569,32118
22.9,42.19,37.47,4.71,12035,1514,18569,32118
23.0,42.21,37.47,4.74,12036,1521,18561,32118
23.1,42.39,37.48,4.92,12037,1579,18502,32118
23.2,42.41,37.50,4.91,12044,1578,18496,32118
23.4,42.41,37.50,4.92,12043,1579,18496,32118
23.5,42.41,37.49,4.92,12041,1581,18496,32118
23.6,43.14,37.56,5.58,12064,1793,18261,32118
23.7,43.18,37.53,5.66,12053,1817,18248,32118
23.8,43.18,37.54,5.65,12056,1814,18248,32118
24.0,43.19,37.47,5.71,12036,1835,18247,32118
24.1,43.19,37.49,5.69,12042,1829,18247,32118
24.2,43.35,37.53,5.83,12053,1871,18194,32118
24.3,43.51,37.51,6.00,12048,1928,18142,32118
24.4,43.52,37.42,6.10,12019,1958,18141,32118
24.5,43.52,37.36,6.16,12000,1978,18140,32118
24.7,43.52,37.28,6.25,11972,2006,18140,32118
24.8,43.52,37.31,6.21,11984,1994,18140,32118
24.9,43.52,37.36,6.16,12000,1978,18140,32118
25.0,43.52,37.41,6.11,12014,1964,18140,32118
25.2,43.52,37.42,6.10,12020,1958,18140,32118
25.3,43.52,37.48,6.04,12037,1941,18140,32118
25.4,43.52,37.48,6.04,12039,1939,18140,32118
25.6,43.52,37.50,6.02,12045,1933,18140,32118
25.7,43.52,37.52,6.00,12051,1927,18140,32118
25.8,43.52,37.60,5.92,12077,1901,18140,32118
25.9,43.52,37.62,5.90,12084,1894,18140,32118
26.1,43.52,37.59,5.93,12074,1904,18140,32118
26.2,43.52,37.55,5.97,12059,1919,18140,32118
26.3,43.68,37.54,6.13,12058,1970,18090,32118
26.4,43.68,37.57,6.10,12068,1960,18090,32118
26.6,43.68,37.56,6.12,12062,1966,18090,32118
26.7,43.68,37.58,6.10,12070,1958,18090,32118
26.8,43.69,37.57,6.11,12068,1963,18087,32118
26.9,43.69,37.59,6.10,12073,1958,18087,32118
27.1,43.79,37.60,6.20,12076,1990,18052,32118
27.2,43.84,37.62,6.21,12084,1995,18039,32118
27.3,43.84,37.61,6.22,12080,1999,18039,32118
27.4,43.84,37.61,6.23,12079,2000,18039,32118
27.5,43.84,37.62,6.21,12084,1995,18039,32118
27.6,43.84,37.62,6.21,12083,1996,18039,32118
27.8,43.84,37.64,6.20,12088,1991,18039,32118
27.9,43.84,37.63,6.21,12085,1994,18039,32118
28.0,43.84,37.62,6.21,12084,1995,18039,32118
28.1,43.84,37.63,6.20,12087,1992,18039,32118
28.3,43.84,37.64,6.20,12088,1991,18039,32118
28.4,43.84,37.62,6.21,12084,1995,18039,32118
28.5,43.84,37.64,6.20,12088,1991,18039,32118
28.6,43.84,37.65,6.19,12092,1987,18039,32118
28.7,43.84,37.64,6.20,12088,1991,18039,32118
28.9,43.84,37.64,6.20,12088,1991,18039,32118
